,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,25,0,25,0.5,0.0,0.0,1.0,0.0
1,0.95,10,23,2,15,0.66,0.8333333333333334,0.4,0.92,0.5405405405405406
2,0.9,11,23,2,14,0.68,0.8461538461538461,0.44,0.92,0.5789473684210525
3,0.85,11,23,2,14,0.68,0.8461538461538461,0.44,0.92,0.5789473684210525
4,0.8,12,23,2,13,0.7,0.8571428571428571,0.48,0.92,0.6153846153846153
5,0.75,12,23,2,13,0.7,0.8571428571428571,0.48,0.92,0.6153846153846153
6,0.7,12,23,2,13,0.7,0.8571428571428571,0.48,0.92,0.6153846153846153
7,0.65,12,23,2,13,0.7,0.8571428571428571,0.48,0.92,0.6153846153846153
8,0.6,12,23,2,13,0.7,0.8571428571428571,0.48,0.92,0.6153846153846153
9,0.55,12,23,2,13,0.7,0.8571428571428571,0.48,0.92,0.6153846153846153
10,0.5,14,23,2,11,0.74,0.875,0.56,0.92,0.6829268292682927
11,0.45,14,23,2,11,0.74,0.875,0.56,0.92,0.6829268292682927
12,0.4,14,23,2,11,0.74,0.875,0.56,0.92,0.6829268292682927
13,0.35,15,23,2,10,0.76,0.8823529411764706,0.6,0.92,0.7142857142857143
14,0.3,15,22,3,10,0.74,0.8333333333333334,0.6,0.88,0.6976744186046512
15,0.25,15,22,3,10,0.74,0.8333333333333334,0.6,0.88,0.6976744186046512
16,0.2,16,22,3,9,0.76,0.8421052631578947,0.64,0.88,0.7272727272727272
17,0.15,16,20,5,9,0.72,0.7619047619047619,0.64,0.8,0.6956521739130435
18,0.1,17,20,5,8,0.74,0.7727272727272727,0.68,0.8,0.7234042553191491
19,0.05,19,20,5,6,0.78,0.7916666666666666,0.76,0.8,0.7755102040816326
20,0.0,25,0,25,0,0.5,0.5,1.0,0.0,0.6666666666666666
